ID,Left eye tracking error degrees,Right eye tracking error degrees,Age years,Inter pupillary distance mm,Gender,Eye colour,Skin tone,Ethnic background,Makeup,Dominant eye,Eyewear type,Eyewear lens type,Eyewear frame type,Eyewear frame thickness,Eyewear lens height,Eyewear coating anti-reflective,Eyewear coating anti-scratch,Eyewear coating anti-fog,Eyewear coating anti-UV,Eyewear coating anti-smudge,Eyewear coating blue-filter
ID0652,1.759745,1.1427475,57,71,male,Blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0653,1.299505,0.679017,32,62.5,Female,black,medium,south Asia,no makeup,right,Eyeglasses,Single-vision,Full,Thick,High,No,No,No,No,No,No
ID0654,1.21112,1.19892,37,61.5,female,blue,light,Europe,light eye makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0655,1.32254,0.9833585,35,60,Female,black,medium,south Asia,light eye makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0656,2.83198,1.110775,26,62.5,male,black,medium,South Asia,no makeup,right,Eyeglasses,Single-vision,Rimless,No-frame,Normal,,,,,,
ID0657,1.17962,0.806654,58,68,male,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0658,2.256445,0.8019595,31,67.5,Male,Brown,light,East Asia,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,,,,,,
ID0659,1.013345,0.598779,49,61,female,green,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0660,0.6615,0.8746665,19,64,male,brown,light,South Asia,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0661,0.9342425,1.008805,32,63.5,female,dark brown,medium,south Asia,no makeup,right,Eyeglasses,Single-vision,Full,Medium,High,,,,,,Yes
ID0663,1.44308,0.635366,33,65,male,blue-grey,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0664,0.417578,1.079535,59,65.5,male,blue,light,europe,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,,,,,,
ID0665,0.831584,0.620337,47,65.5,Male,Black,medium,East Asia,no makeup,right,Eyeglasses,Bifocals,Full,Medium,High,,Yes,,,,
ID0666,1.240455,1.235375,38,68,male,blue,light,europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,High,Yes,Yes,,,,
ID0667,1.31998,2.47192,30,68.5,male,black,medium,south Asia,no makeup,left,Eyeglasses,Single-vision,Full,Medium,Normal,,,,,,Yes
ID0668,0.9609365,0.8493635,57,62,female,blue,light,europe,light eye makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0669,4.256345,3.81178,34,65,male,green,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0670,1.5378,2.50671,21,56.5,female,black,light,east Asia,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0671,2.01779,1.0565,33,69.5,Male,Dark grey,medium,South Asia,no makeup,right,Eyeglasses,Single-vision,Full,Thick,Normal,No,No,No,No,No,No
